Major PIN,Contract Number,Region,Project Title,Project Description,Status,In/Future Development Start Date,Bid Opening Date,Construction Start Date,Construction End Date,Construction Amount,Federal Funding,State Funding,Local Funding,Type of Work,Public Friendly Description,Contract Award Date,Contract Award Amount,Approved Cost Changes,Current Award Amount,Estimated or Actual Completed Date,Schedule Performance,Cost Performance
380748,,03 CENTRAL NEW YORK,REGIONAL SAFETAP PROJECT,"REGIONAL SAFETAP PROJECT VARIOUS LOCATIONS. CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES. SCOPE AND LOCATIONS TBD, MULTIPLE LOCATIONS ON AND OFF FEDERAL AID SYSTEM, TO IMPROVE SAFETY",Future Development,,Spring 2023,Summer 2023,Fall 2023,1500000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. Items of work may include replacing, or in some cases, removing guiderail, replacing faded or damaged signs, cleaning culverts, flattening slopes or r",,,,,,,
380725,,03 CENTRAL NEW YORK,REGIONAL SIGNAL PROJECT,"REGIONAL SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, CAYUGA, CORTLAND, ONONDAGA, OSWEGO, SENECA AND TOMPKINS COUNTIES",Future Development,,Fall 2025,Fall 2025,Spring 2026,3000000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Onondaga, Oswego, Seneca and Tompkins counties.",,,,,,,
380518,,03 CENTRAL NEW YORK,"REGIONAL SIGNAL PROJECT CAYUGA, SENECA, CORTLAND & OSWEGO","REGIONAL SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, CAYUGA, CORTLAND, OSWEGO AND SENECA COUNTIES",Future Development,,Summer 2021,Fall 2021,Fall 2023,3000000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Cayuga, Cortland, Oswego and Seneca counties.",,,,,,,
380765,,03 CENTRAL NEW YORK,REGIONAL SMALL CULVERT REPLACEMENT PROJECT CORTLAND COUNTY,"REGIONAL SMALL CULVERT REPLACEMENT PROJECT I-81, CORTLAND COUNTY,  IMPROVE HIGHWAY DRAINAGE SYSTEMS",Future Development,,Spring 2021,Summer 2021,Fall 2021,1000000,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project involves the improvement of highway drainage systems with the repair and replacement of small size culverts and drainage structures at various locations in Cortland County.,,,,,,,
380764,,03 CENTRAL NEW YORK,REGIONAL SMALL CULVERT REPLACEMENT PROJECT ONONDAGA COUNTY,"REGIONAL SMALL CULVERT REPLACEMENT PROJECT RT 481 AND I-481, ONONDAGA COUNTY, IMPROVE HIGHWAY DRAINAGE SYSTEMS",Future Development,,Winter 2020/2021,Spring 2021,Summer 2021,1000000,Yes,Yes,No,This project involves the repair and replacement of culverts.,This project involves the improvement of highway drainage systems with the repair and replacement of small size culverts and drainage structures at various locations in Onondaga County.,,,,,,,
380631,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2028,Winter 2028/2029,Fall 2029,500000,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Central New York.,,,,,,,
380525,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,500000,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Central New York.,,,,,,,
380741,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2024,Winter 2024/2025,Summer 2025,500000,Yes,Yes,No,This project involves the removal of brush and trees.,"This project will remove dead, damaged and leaning trees that present a hazard to the traveling public along various State highways in Central New York. Work will be confined within the highway's property line.",,,,,,,
380742,,03 CENTRAL NEW YORK,REGIONAL TREE REMOVAL PROJECT,REGIONAL TREE REMOVAL PROJECT,Future Development,,Fall 2026,Winter 2026/2027,Summer 2027,500000,Yes,Yes,No,This project involves the removal of brush and trees.,"This project will remove dead, damaged and leaning trees that present a hazard to the traveling public along various State highways in Central New York. Work will be confined within the highway's property line.",,,,,,,
3B1616,,03 CENTRAL NEW YORK,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT FOR MAINTENANCE.  TRAFFIC OPERATIONS CONTROL.  LOCATIONS REGIONWIDE.  PROVIDE WORK ZONES FOR THE SAFETY OF WORK CREWS AND MOTORING PUBLIC,Future Development,,Winter 2025/2026,Winter 2025/2026,Winter 2026/2027,1000000,No,Yes,No,This project involves bridge repairs as needs arise.,"This project will provide safe traffic operations during work relative to bridge maintenance, pavement/bridge coring, geotechnical borings and surveying in Oswego, Onondaga, Cortland, Cayuga, Tompkins and Seneca Counties.",,,,,,,
3B1610,,03 CENTRAL NEW YORK,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT FOR MAINTENANCE.  TRAFFIC OPERATIONS CONTROL.  LOCATIONS REGIONWIDE.  PROVIDE WORK ZONES FOR THE SAFETY OF WORK CREWS AND MOTORING PUBLIC,Future Development,Spring 2019,Winter 2019/2020,Winter 2019/2020,Winter 2021/2022,1000000,No,Yes,No,This project involves bridge repairs as needs arise.,"This project will provide safe traffic operations during work relative to bridge maintenance, pavement/bridge coring, geotechnical borings and surveying in Oswego, Onondaga, Cortland, Cayuga, Tompkins and Seneca Counties.",,,,,,,
3B1612,,03 CENTRAL NEW YORK,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT FOR MAINTENANCE.  TRAFFIC OPERATIONS CONTROL.  LOCATIONS REGIONWIDE.  PROVIDE WORK ZONES FOR THE SAFETY OF WORK CREWS AND MOTORING PUBLIC,Future Development,,Winter 2021/2022,Winter 2021/2022,Winter 2023/2024,1000000,No,Yes,No,This project involves bridge repairs as needs arise.,"This project will provide safe traffic operations during work relative to bridge maintenance, pavement/bridge coring, geotechnical borings and surveying in Oswego, Onondaga, Cortland, Cayuga, Tompkins and Seneca Counties.",,,,,,,
3B1614,,03 CENTRAL NEW YORK,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT,REGIONAL WORK ZONE TRAFFIC CONTROL PROJECT FOR MAINTENANCE.  TRAFFIC OPERATIONS CONTROL.  LOCATIONS REGIONWIDE.  PROVIDE WORK ZONES FOR THE SAFETY OF WORK CREWS AND MOTORING PUBLIC,Future Development,,Winter 2023/2024,Winter 2023/2024,Winter 2025/2026,1000000,No,Yes,No,This project involves bridge repairs as needs arise.,"This project will provide safe traffic operations during work relative to bridge maintenance, pavement/bridge coring, geotechnical borings and surveying in Oswego, Onondaga, Cortland, Cayuga, Tompkins and Seneca Counties.",,,,,,,
380775,,03 CENTRAL NEW YORK,REPAIR AND REPLACE NYS CANAL NAVIGATION LIGHTS,"REPAIR AND REPLACE NYS CANAL NAVIGATION LIGHTS, ONONDAGA, OSWEGO AND CAYUGA COUNTIES",Future Development,,Fall 2021,Fall 2021,,600000,Yes,Yes,No,This project involves the building or improvement of canals.,"This project will repair or replace broken, deficient or missing navigation light systems on bridges spanning the New York State Barge Canal, to provide safe passage for boaters in Cayuga, Onondaga and Oswego counties.",,,,,,,
380756,,03 CENTRAL NEW YORK,REPAIR AND REPLACE NYS CANAL NAVIGATION LIGHTS IN SMTC,"REPAIR AND REPLACE NYS CANAL NAVIGATION LIGHTS IN SMTC, ONONDAGA AND OSWEGO COUNTIES",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,600000,Yes,Yes,No,This project involves the building or improvement of canals.,"This project will repair or replace broken, deficient or missing navigation light systems on bridges spanning the New York State Barge Canal, to provide safe passage for boaters. There are eight locations in Onondaga County and one in Oswego County.",,,,,,,
380507,,03 CENTRAL NEW YORK,RETAINING WALL PROJECT ONONDAGA COUNTY,"RETAINING WALL PROJECT, RT 174, ONONDAGA  COUNTY, PREVENTIVE MAINTENENCE TO BRING TO A STATE OF GOOD REPAIR",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1000000,Yes,Yes,No,This project involves the building of retaining walls to protect traffic.,This project involves the repair of highway retaining walls at various locations along State highways in Onondaga County.,,,,,,,
304366,,03 CENTRAL NEW YORK,RT 11 OVER TIOUGHNIOGA RIVER MAJOR REHAB,"RT 11 OVER TIOUGHNIOGA RIVER MAJOR REHAB, BIN 1008370, TOWN OF CORTLANDVILLE, CORTLAND COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,1000000,Yes,Yes,No,This project involves general bridge rehabilitation work.,"This project will rehabilitate the bridge carrying Route 11 over the Tioughnioga River in the Town of Cortlandville, Cortland County.",,,,,,,
305765,,03 CENTRAL NEW YORK,RT 13 OVER I81 DECK REPLACEMENT,"RT 13 OVER I81 DECK REPLACEMENT, BIN 1010680, TOWN OF RICHLAND, VILLAGE OF PULASKI, OSWEGO COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2026,3000000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the deck on the bridge carrying Route 13 over I81 in the Village of Pulaski, Oswego County.",,,,,,,
301803,,03 CENTRAL NEW YORK,RT 200 OVER E BR OWEGO CREEK BIN 1040070 BRIDGE REPLACEMENT,"RT 200 OVER E BR OWEGO CREEK BIN 1040070 BRIDGE REPLACEMENT, TOWN OF HARFORD, CORTLAND COUNTY",Future Development,,Winter 2030/2031,Winter 2030/2031,Fall 2031,2200000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the bridge carrying Route 200 over the East Branch of Owego Creek in the Town of Harford, Cortland County.",,,,,,,
302814,,03 CENTRAL NEW YORK,"RT 281 AT RT 41 ROUNDABOUT, VILLAGE OF HOMER","RT 281 AT RT 41 ROUNDABOUT, VILLAGE OF HOMER, CORTLAND COUNTY, INTERSECTION SAFETY IMPROVEMENTS",Future Development,,Fall 2022,Winter 2022/2023,Spring 2023,1900000,Yes,Yes,No,This project involves reconstruction of intersections.,,,,,,,,
302813,,03 CENTRAL NEW YORK,"RT 281 OVER I81 DECK REPLACEMENT, TOWN OF PREBLE CORTLAND CO","RT 281 OVER I81 DECK REPLACEMENT BIN 1031450, TOWN OF PREBLE, CORTLAND COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,2500000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the deck on the bridge carrying Route 281 over I81 in the Town of Preble, Cortland County.",,,,,,,
303768,,03 CENTRAL NEW YORK,RT 31 AT I81 INTERCHANGE SAFETY IMPROVEMENT PROJECT,"RT 31 AT I81 INTERCHAGE SAFETY IMPROVEMENT PROJECT, TOWN OF CICERO, ONONDAGA CO",Future Development,Spring 2008,Fall 2030,Winter 2030/2031,Winter 2025/2026,21500000,Yes,Yes,No,This project involves reconstructing a highway interchange.,"This project involves the reconstruction or reconfiguration of the Interstate 81 interchange with Route 31 in the Town of Cicero, Onondaga County.",,,,,,,
303773,,03 CENTRAL NEW YORK,RT 31 OVER CAYUGA/SENECA CANAL BRIDGE REPLACEMENT,"RT 31 OVER CAYUGA/SENECA CANAL BRIDGE REPLACEMENT, BIN 4021800, TOWN OF TYRE, SENECA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Summer 2026,25000000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the bridge carrying Route 31 over the Cayuga/Seneca Canal in the Town of Tyre, Seneca County.",,,,,,,
303774,,03 CENTRAL NEW YORK,"RT 31 REHAB, CNS HIGH SCHOOL TO S. BAY RD, ONON CO","RT 31 PAVEMENT REHABILITATION, CICERO NORTH SYRACUSE HIGH SCHOOL TO SOUTH BAY ROAD, TOWN OF CICERO, ONONDAGA CO. HIGHWAY REHABILITATION",Future Development,,Fall 2021,Winter 2021/2022,Spring 2022,2500000,Yes,Yes,No,This project involves repaving roads using multiple overlays of pavement.,"This project involves the rehabilitation of Route 31 from Cicero North Syracuse High School to South Bay Road including the provision for turning lanes, sidewalks and drainage improvements in the Town of Cicero, Onondaga County.",,,,,,,
319305,,03 CENTRAL NEW YORK,RT 327 OVER ENFIELD CREEK W BRANCH,"RT 327 OVER ENFIELD CREEK W BRANCH, BIN 1045930, TOWN OF ENFIELD, TOMPKINS COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2026,1000000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project proposes to replace the bridge carrying Route 327 over the west branch of Enfield Creek in the Town of Enfield, Tompkins County.",,,,,,,
350648,,03 CENTRAL NEW YORK,RT 695 OVER GERELOCK RD DECK REPLACEMENT,"RT 695 OVER GERELOCK RD DECK REPLACEMENT, BIN1093349 TOWN OF CAMILLUS, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Fall 2031,2800000,Yes,Yes,No,This project involves replacing bridge decks.,"This project will replace the deck on the bridge carrying Rt 695 over Gerelock Road in the Town of Camillus, Onondaga County.",,,,,,,
302308,,03 CENTRAL NEW YORK,"RT 69 OVER LITTLE SALMON RIVER, TOWN OF MEXICO, OSWEGO CO","BRIDGE REPLACEMENT ROUTE 69 OVER LITTLE SALMON RIVER, TOWN OF MEXICO, OSWEGO COUNTY, BIN 1029340  NEW STRUCTURE TO REPLACE DEFICIENT STRUCTURE",Future Development,Spring 2010,Fall 2030,Winter 2030/2031,Winter 2030/2031,1700000,Yes,Yes,No,This project involves replacing a bridge due to structural problems.,"This project will replace the Route 69 bridge over the Little Salmon River in the Town of Mexico, Oswego County.",,,,,,,
302121,,03 CENTRAL NEW YORK,RT 89 OVER TAUGHANNOCK CREEK BRIDGE REHAB,"ROUTE 89 OVER TAUGHANNOCK CREEK BRIDGE REHABILITATION, BIN 1034290, TOWN OF ULYSSES, TOMPKINS COUNTY",Future Development,,Spring 2030,Spring 2030,Spring 2031,1000,Yes,No,No,This project involves general bridge rehabilitation work.,"This project will rehabilitate the bridge carrying Route 89 over Taughannock Creek in the Town of Ulysses, Tompkins County.",,,,,,,
380668,,03 CENTRAL NEW YORK,"SAFETAP PROJECT, ONONDAGA COUNTY","SAFETAP PROJECT RT 5, RT 92, I-81,  I-690 AND RT 690, ONONDAGA COUNTY, TO IMPROVE SAFETY",Future Development,,Spring 2024,Summer 2024,Fall 2024,1700000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"This project will improve roadside safety by addressing needs identified in surveys by NYSDOT personnel. Items of work may include replacing, or in some cases, removing guiderail, replacing faded or damaged signs, cleaning culverts, flattening slopes or r",,,,,,,
380630,,03 CENTRAL NEW YORK,"SAFETAP PROJECT, OSWEGO COUNTY","SAFETAP PROJECT, OSWEGO COUNTY.  ON AND OFF FEDERAL AID SYSTEM, TO IMPROVE SAFETY",Future Development,,Summer 2021,Fall 2021,Winter 2021/2022,1500000,Yes,Yes,No,This project involves the installation or improvement of guiderails.,"The project involves roadside safety related improvements along various State highways in Oswego County including guide rail replacement, signage improvements and removal or sheilding of potential roadside hazards.",,,,,,,
305769,,03 CENTRAL NEW YORK,"SIGNALIZED SAFETY IMPROVEMENT PROJECT RT 13, CITY OF ITHACA","SIGNALIZED SAFETY IMPROVEMENT PROJECT RT 13,  RT 96B (W CLINTON ST) TO S OF WILLOW AVE, CITY OF  ITHACA, TOMPKINS COUNTY",Future Development,,Spring 2024,Spring 2024,Fall 2024,1700000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will replace the traffic signals and overhead signage on Route 13 from 96B(West Clinton Street) to south of Willow Avenue in the City of Ithaca, Tompkins County. Pedestrian features will be upgraded to include audible features. This project w",,,,,,,
380689,,03 CENTRAL NEW YORK,"SIGNAL PROJECT, ONONDAGA COUNTY","SIGNAL PROJECT, MULTIPLE LOCATIONS ON FEDERAL AID SYSTEM, SAFETY IMPROVEMENTS, ONONDAGA AND OSWEGO COUNTIES, LOCATIONS WITHIN SMTC",Future Development,,Spring 2023,Summer 2023,Spring 2024,3200000,Yes,Yes,No,This project involves the installation or improvement of traffic signals.,"This project will install or rehabilitate traffic signals, controller boxes, pavement detection loops, signal poles and other traffic signal related equipment at locations in Ononondaga and Oswego Counties.",,,,,,,
380697,,03 CENTRAL NEW YORK,"TREE REMOVAL PROJECT, ONONDAGA COUNTY","TREE REMOVAL PROJECT, RT 5, RT 20 AND RT 92, ONONDAGA COUNTY",Future Development,,Fall 2030,Winter 2030/2031,Spring 2024,500000,Yes,Yes,No,This project involves the removal of brush and trees.,This project will cut down and remove trees and brush at various locations which represent a potential hazard along State highways in Onondaga County.,,,,,,,
360392,,03 CENTRAL NEW YORK,"VPP/CIPR RT 176, RT 370 TO OSWEGO COUNTY LINE, CAYUGA COUNTY","VPP/CIPR RT 176, RT 370 TO OSWEGO COUNTY LINE, TOWNS OF IRA AND CATO, CAYUGA COUNTY",Future Development,,Winter 2018/2019,Spring 2019,Fall 2019,1800000,Yes,Yes,No,This project involves repaving of roads by milling top layer of pavement and applying a layer of asphalt.,This project will address pavement cracking by performing a recycling of the existing asphalt surface and applying a new top layer of asphalt. This will restore the pavement to a good condition and extend the service life of the road. Work will take place,,,,,,,
